['jiaxing', u'2016-01-26 23:00:00', u'\u5357\u6e56\u533a\u6b8b\u8054', u'55', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'31', u'59', u'0.373', u'38', u'60', u'50', u'14']
['guyuan', u'2016-01-26 23:00:00', u'\u65b0\u533a', u'73', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'53', u'57', u'1.162', u'46', u'43', u'69', u'20']
['puyang', u'2016-01-26 23:00:00', u'\u6cb9\u7530\u7269\u63a2\u516c\u53f8', u'115', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'86', u'179', u'1.999', u'71', u'19', u'32', u'47']
['lijiang', u'2016-01-26 23:00:00', u'\u5e02\u4e2d\u5fc3', u'28', u'\u4f18', u'_', u'12', u'_', u'0.293', u'13', u'87', u'91', u'4']
['qitaihe', u'2016-01-26 23:00:00', u'\u846b\u5934\u6c9f', u'59', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'42', u'51', u'1.122', u'25', u'74', u'84', u'37']
['dingxi', u'2016-01-26 23:00:00', u'\u5357\u5cf0\u62db\u5f85\u6240\uff08\u539f\u8d77\u91cd\u673a\u5382\uff09', u'82', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'60', u'101', u'1.45', u'53', u'28', u'46', u'62']
['zhangjiagang', u'2016-01-26 23:00:00', u'\u57ce\u5317\u5c0f\u5b66', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'12', u'_']
['jieyang', u'2016-01-26 23:00:00', u'\u6e14\u6e56', u'135', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'103', u'146', u'1.309', u'63', u'5', u'12', u'20']
['yichang', u'2016-01-26 23:00:00', u'\u5937\u9675\u533a', u'210', u'\u91cd\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'160', u'258', u'1.908', u'52', u'28', u'49', u'29']
['changsha', u'2016-01-26 23:00:00', u'\u6c99\u576a', u'90', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'64', u'130', u'0.912', u'71', u'10', u'22', u'19']
['beijing', u'2016-01-26 23:00:00', u'\u53e4\u57ce', u'130', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'99', u'127', u'2.1', u'69', u'6', u'29', u'37']
['changshu', u'2016-01-26 23:00:00', u'\u83f1\u5858\u5b50\u7ad9', u'89', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'61', u'127', u'1.455', u'79', u'7', u'37', u'28']
['shihezi', u'2016-01-26 23:00:00', u'\u9633\u5149\u5b66\u6821', u'324', u'\u4e25\u91cd\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'274', u'407', u'_', u'106', u'2', u'19', u'71']
['benxi', u'2016-01-26 23:00:00', u'\u65b0\u7acb\u5c6f', u'52', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'31', u'54', u'1.216', u'53', u'26', u'25', u'51']
['bazhong', u'2016-01-26 23:00:00', u'\u5e02\u516d\u4e2d', u'88', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'65', u'110', u'1.953', u'73', u'2', u'32', u'8']
['huangshi', u'2016-01-26 23:00:00', u'\u7ecf\u6d4e\u5f00\u53d1\u533a', u'59', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'39', u'68', u'0.935', u'41', u'45', u'37', u'3']
['shiyan', u'2016-01-26 23:00:00', u'\u94c1\u4e8c\u5904', u'63', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'45', u'73', u'0.983', u'32', u'55', u'83', u'16']
['changchun', u'2016-01-26 23:00:00', u'\u5cb1\u5c71\u516c\u56ed', u'66', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'47', u'82', u'0.699', u'40', u'42', u'54', u'36']
['ganzizhou', u'2016-01-26 23:00:00', u'\u6c34\u6865\u5b50', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'_', u'_']
['jintan', u'2016-01-26 23:00:00', u'\u91d1\u575b\u5e02\u81ea\u6765\u6c34\u516c\u53f8', u'82', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'60', u'90', u'0.935', u'98', u'_', u'27', u'26']
['yichunshi', u'2016-01-26 23:00:00', u'\u6c64\u65fa\u6cb3\u56fd\u5bb6\u516c\u56ed', u'28', u'\u4f18', u'_', u'15', u'28', u'0.178', u'41', u'30', u'41', u'8']
['nanchang', u'2016-01-26 23:00:00', u'\u7701\u7ad9', u'72', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'37', u'94', u'0.694', u'54', u'24', u'41', u'24']
['beihai', u'2016-01-26 23:00:00', u'\u5317\u6d77\u5de5\u4e1a\u56ed', u'49', u'\u4f18', u'_', u'34', u'37', u'0.934', u'10', u'57', u'55', u'4']
['nanchong', u'2016-01-26 23:00:00', u'\u5e02\u73af\u5883\u76d1\u6d4b\u7ad9', u'113', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'85', u'136', u'0.833', u'61', u'13', u'32', u'8']
['xishuangbannazhou', u'2016-01-26 23:00:00', u'\u666f\u6d2a\u5e02\u6c5f\u5317', u'33', u'\u4f18', u'_', u'23', u'26', u'0.789', u'23', u'5', u'15', u'1']
['zhoukou', u'2016-01-26 23:00:00', u'\u5ddd\u6c47\u533a\u73af\u4fdd\u5c40', u'122', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'_', u'193', u'1.862', u'44', u'11', u'45', u'33']
['tangshan', u'2016-01-26 23:00:00', u'\u5c0f\u5c71', u'78', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'57', u'99', u'1.372', u'69', u'14', u'32', u'40']
['songyuan', u'2016-01-26 23:00:00', u'\u6c5f\u5317', u'37', u'\u4f18', u'_', u'14', u'37', u'0.946', u'13', u'40', u'42', u'23']
['xinyang', u'2016-01-26 23:00:00', u'\u5ba1\u8ba1\u5c40', u'110', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'83', u'159', u'1.915', u'73', u'22', u'58', u'23']
['hengyang', u'2016-01-26 23:00:00', u'\u771f\u7a7a\u673a\u7535\u516c\u53f8', u'78', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'56', u'105', u'1.053', u'73', u'5', u'13', u'17']
['liaoyang', u'2016-01-26 23:00:00', u'\u94c1\u897f\u5de5\u4e1a\u56ed', u'101', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'54', u'152', u'2.835', u'82', u'4', u'23', u'154']
['lincang', u'2016-01-26 23:00:00', u'\u5e02\u6c14\u8c61\u5c40', u'37', u'\u4f18', u'_', u'16', u'37', u'1.457', u'19', u'28', u'53', u'2']
['kaifeng', u'2016-01-26 23:00:00', u'\u4e16\u7eaa\u661f\u5e7c\u513f\u56ed', u'82', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'59', u'113', u'1.552', u'79', u'32', u'47', u'83']
['linxiazhou', u'2016-01-26 23:00:00', u'\u5dde\u59d4\u515a\u6821', u'107', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'80', u'158', u'3.448', u'63', u'22', u'82', u'50']
['jiuquan', u'2016-01-26 23:00:00', u'\u5bcc\u5eb7\u5bb6\u4e16\u754c\u5b50\u7ad9', u'84', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'57', u'117', u'0.683', u'44', u'50', u'61', u'6']
['xiangxizhou', u'2016-01-26 23:00:00', u'\u5409\u9996\u5e02\u8ba1\u751f\u5c40', u'134', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'96', u'218', u'0.24', u'43', u'10', u'33', u'19']
['qinzhou', u'2016-01-26 23:00:00', u'\u6e2f\u533a\u4e00\u5c0f', u'57', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'40', u'_', u'0.836', u'35', u'44', u'56', u'12']
['yanbianzhou', u'2016-01-26 23:00:00', u'\u671d\u9633\u5ddd\u9547\u533b\u9662', u'31', u'\u4f18', u'_', u'19', u'31', u'0.564', u'8', u'61', u'65', u'9']
['maoming', u'2016-01-26 23:00:00', u'\u9ad8\u5cad', u'29', u'\u4f18', u'_', u'20', u'27', u'0.582', u'7', u'36', u'42', u'3']
['xiangyang', u'2016-01-26 23:00:00', u'\u8944\u5dde\u822a\u7a7a\u8def', u'63', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'45', u'73', u'1.429', u'39', u'38', u'48', u'18']
['boertala', u'2016-01-26 23:00:00', u'\u5e02\u73af\u4fdd\u5c40', u'209', u'\u91cd\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'159', u'263', u'2.721', u'13', u'38', u'39', u'31']
['haibeizhou', u'2016-01-26 23:00:00', u'\u6d77\u664f\u53bf\u897f\u6d77\u9547', u'61', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'31', u'72', u'0.621', u'7', u'75', u'93', u'10']
['yueyang', u'2016-01-26 23:00:00', u'\u91d1\u51e4\u6c34\u5e93', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'_', u'_']
